repository,type,source,keyword,summary,link,status
ausaki/subfinder,Issue,title,OS=windows; FIX=bug,Windowså³é”®èœå•bug,https://github.com/ausaki/subfinder/issues/95,To review
Xpra-org/xpra,Issue,comment,OS=centos; FIX=workaround,more generic `command` for the exec authentication module,https://github.com/Xpra-org/xpra/issues/3790,To review
GispoCoding/eis_toolkit,Issue,body+title,OS=windows; FIX=broken|failing|fails; TEST_CI=github actions|test|workflow,Conda install & test workflow fails for Windows,https://github.com/GispoCoding/eis_toolkit/issues/107,To review
WorldWideTelescope/pywwt,Issue,body+title,OS=windows; FIX=broken; TEST_CI=ci,Qt client's `block_until_ready` is broken on Windows,https://github.com/WorldWideTelescope/pywwt/issues/350,To review
amaranth-lang/amaranth,Issue,body+title,OS=ubuntu; FIX=broken,pip install broken,https://github.com/amaranth-lang/amaranth/issues/766,To review
Xpra-org/xpra,Issue,body+comment,OS=arch|debian|linux|windows; FIX=breakage|bug|fix|fixed|regression|workaround; TEST_CI=test|tests,xpra doesn't have a tray icon under Wayland with KWin,https://github.com/Xpra-org/xpra/issues/3789,To review
codemagic-ci-cd/cli-tools,Issue,body,OS=macos; FIX=fails,`list-bundle-ids` says that a Bundle ID is only iOS but should be universal,https://github.com/codemagic-ci-cd/cli-tools/issues/314,To review
aws/aws-sam-cli,Issue,body+comment+title,OS=linux|macos|windows|wsl; FIX=bug|fails|fix|workaround; TEST_CI=test|workflow,"Bug: Sam Build very slow and ignoring cache, recopying unchanged files and dependencies",https://github.com/aws/aws-sam-cli/issues/4828,To review
asyrjasalo/RESTinstance,Issue,body+title,OS=ubuntu; FIX=bug|fail; TEST_CI=github actions,Github actions fail because ubuntu-latest does not have Python 3.6,https://github.com/asyrjasalo/RESTinstance/issues/142,To review
chimpler/pyhocon,Issue,body+title,OS=darwin|windows; FIX=bug|compatibility|fail|fails|mark.skipif|pytest.mark.skipif|skipif; TEST_CI=pytest|test|tests,BUG/DEPS: tests fail for pyparsing>3,https://github.com/chimpler/pyhocon/issues/305,To review
asyrjasalo/RESTinstance,Issue,body+title,OS=linux|windows; FIX=compatibility|fail; TEST_CI=tests; API=pathlib,Unit tests fail on Windows,https://github.com/asyrjasalo/RESTinstance/issues/141,Related!!
NagiosEnterprises/ncpa,Issue,comment,OS=centos|rhel; FIX=fix|fixed|fixes,"Was ""CVE-2022-37434: zlib inflate issue"" resolved in 2.4.1 NCPA release",https://github.com/NagiosEnterprises/ncpa/issues/922,To review
OpenBB-finance/OpenBB,Issue,title,OS=windows; FIX=bug,[Bug] Windows - Cannot `git clone` repo because of filename too long error.,https://github.com/OpenBB-finance/OpenBB/issues/4373,To review
NagiosEnterprises/ncpa,Issue,comment+title,OS=centos|rhel; FIX=bug|compatibility|fix|fixed|fixes; CAUSE=.so,NCPA 2.4.1 release - status for OpenSSL fixes,https://github.com/NagiosEnterprises/ncpa/issues/920,To review
asreview/asreview,Issue,body+title,OS=linux; FIX=bug|fails,Docker use fails due to platform mismatch,https://github.com/asreview/asreview/issues/1332,To review
OmniSharp/omnisharp-vim,Issue,body,OS=linux|ubuntu|windows|wsl; FIX=fail,Can't use out-of-box because of MSBuild,https://github.com/OmniSharp/omnisharp-vim/issues/834,To review
Steffenhir/GraXpert,Issue,body+title,OS=windows; FIX=fails,GraXpert fails to start with unusual desktop sizes,https://github.com/Steffenhir/GraXpert/issues/73,To review
OpenBB-finance/OpenBB,Issue,body+title,OS=windows; FIX=bug; API=subprocess,[Bug] CalledProcessError when running `poetry install` on Windows 10,https://github.com/OpenBB-finance/OpenBB/issues/4337,To review
conda/grayskull,Issue,body+title,OS=msys2|win32|windows; FIX=bug; TEST_CI=pytest|workflow,[BUG] File URL on Windows,https://github.com/conda/grayskull/issues/448,Related!!
adap/flower,Issue,body+comment,OS=linux|macos|windows; FIX=bug|fix,"Deserialization Error: Python 3.8, Flower 1.3, Ray 1.13",https://github.com/adap/flower/issues/1688,To review
Xpra-org/xpra,Issue,body+title,OS=macos|osx; FIX=fixed,MacOS `setDelegate_` event listener causes segfault,https://github.com/Xpra-org/xpra/issues/3770,To review
canonical/pycloudlib,Issue,body+comment,OS=ubuntu; FIX=bug; TEST_CI=test,Oracle: provide mechanism to export custom image to object storage bucket,https://github.com/canonical/pycloudlib/issues/284,To review
OSInside/kiwi,Issue,body+comment+title,OS=fedora|linux|rhel; FIX=bug|compatibility|fails|workaround; TEST_CI=test,setfiles command fails,https://github.com/OSInside/kiwi/issues/2244,To review
WordPress/openverse,Issue,body+title,OS=windows; FIX=fixes|skip,Accessibility with Windows screen readers tracking issue for home/search results pages,https://github.com/WordPress/openverse/issues/448,To review
SolderedElectronics/Dasduino-Board-Definitions-for-Arduino-IDE,Issue,body+title,OS=darwin|linux|macos|mingw32|ubuntu|windows; FIX=fails,Inkplate fails to install on Ubuntu Arm,https://github.com/SolderedElectronics/Dasduino-Board-Definitions-for-Arduino-IDE/issues/3,To review
autoreject/autoreject,Issue,body+title,OS=ubuntu|windows; FIX=failing|fails; TEST_CI=ci,CI failing: github_actions_download,https://github.com/autoreject/autoreject/issues/300,To review
aws/aws-sam-cli,Issue,body+title,OS=debian|linux|ubuntu|windows|wsl; FIX=bug; TEST_CI=ci,Bug: Unable to resolve DNS when using local invoke in WSL,https://github.com/aws/aws-sam-cli/issues/4696,To review
christoph2/pyxcp,Issue,comment,OS=linux|win32|windows; FIX=broken|fixed; CAUSE=.dll|utf-8,How to use,https://github.com/christoph2/pyxcp/issues/129,To review
HeloiseS/hoki,Issue,body+title,OS=unix|windows; FIX=bug|fail; API=os.path,[BUG] Path values assume a UNIX system,https://github.com/HeloiseS/hoki/issues/84,Related!!
OpenBB-finance/OpenBB,Issue,body+title,OS=macos; FIX=bug|fails|fix,"[Bug] After installing the new DMG version, the Terminal fails to launch - ValueError: 'macos' is not a valid value for backend;",https://github.com/OpenBB-finance/OpenBB/issues/4141,To review
Xpra-org/xpra,Issue,body+title,OS=macos|os x; FIX=bug|fails,xpra fails to start using ssh on macOS Ventura,https://github.com/Xpra-org/xpra/issues/3757,To review
OpenBB-finance/OpenBB,Issue,comment+title,OS=darwin|osx; FIX=bug|failure; CAUSE=.so,[Bug] Jupiter Notebook not loading the kernel on browser when trying to use the OpenBB SDK,https://github.com/OpenBB-finance/OpenBB/issues/4117,To review
GitGuardian/ggshield,Issue,body,OS=linux|macos|ubuntu|windows; FIX=bug|fail|fails|fix|workaround; TEST_CI=ci,pre-commit hook does not work in Visual Studio,https://github.com/GitGuardian/ggshield/issues/467,To review
bloomberg/memray,Issue,body,OS=linux|ubuntu; FIX=fails; TEST_CI=pytest|test; CAUSE=.so|executable,3087 malloc.c: No such file or directory. when using `memray attach`.,https://github.com/bloomberg/memray/issues/309,To review
aws/aws-parallelcluster,Issue,body+title,OS=ubuntu; FIX=bug|fail|fails|failure,(3.3.0-3.4.1) Custom AMI creation fails on Ubuntu 20.04 during MySQL packages installation,https://github.com/aws/aws-parallelcluster/issues/4835,To review
aws/aws-sam-cli,Issue,body+title,OS=linux|rhel|windows; FIX=fails|failure; TEST_CI=test; CAUSE=permission denied,FATAL FIPS SELFTEST FAILURE - RHEL 8 Install,https://github.com/aws/aws-sam-cli/issues/4618,To review
BAMWelDX/weldx,Issue,body+title,OS=osx; FIX=fail; TEST_CI=ci,[ci] consider removing OSX testing,https://github.com/BAMWelDX/weldx/issues/840,Not related
CCSI-Toolset/FOQUS,Issue,body+title,OS=windows; FIX=bug,Windows Python time.process_time bug,https://github.com/CCSI-Toolset/FOQUS/issues/1103,To review
ansible-collections/amazon.aws,Issue,body+comment+title,OS=linux|macos|posix|windows; FIX=bug|compatibility|fix|fixes; CAUSE=executable,"""ERROR! A worker was found in a dead state"" When using aws_secret lookup module on MacOS",https://github.com/ansible-collections/amazon.aws/issues/1339,To review
Xpra-org/xpra,Issue,body+title,OS=arch|linux|posix|ubuntu|unix|windows; FIX=bug|fails|fix|fixes; CAUSE=encoding|permission denied,"dbus issues when connecting to Ubuntu, breaking e.g. snap",https://github.com/Xpra-org/xpra/issues/3740,To review
OSInside/kiwi,Issue,body,OS=linux; FIX=fails; TEST_CI=test|tests,LUKS Tumbleweed disk image drops to a grub emergency shell after entering the password,https://github.com/OSInside/kiwi/issues/2239,To review
GNS3/gns3-server,Issue,comment,OS=linux|macos|windows; FIX=fix,Virtualized Intel VT-x/EPT is not supported on this platform.,https://github.com/GNS3/gns3-server/issues/2164,To review
OSInside/kiwi,Issue,body+comment+title,OS=arch|debian|fedora|linux|ubuntu; FIX=fail|fails|fix|workaround; TEST_CI=test,archlinux kiwi-test-image-live-disk-kis install iso fails to boot in UEFI mode,https://github.com/OSInside/kiwi/issues/2232,To review
OSInside/kiwi,Issue,body+title,OS=centos; FIX=fails; TEST_CI=test,kiwi-test-image-live-disk-v7.x86_64-1.3.0-Disk-Build47.1.install.iso fails to boot with UEFI,https://github.com/OSInside/kiwi/issues/2229,To review
Farama-Foundation/Gymnasium,Issue,body+title,OS=ubuntu; FIX=bug,[Bug Report] Cannot render CartPole-v1 on Ubuntu,https://github.com/Farama-Foundation/Gymnasium/issues/262,To review
Xpra-org/xpra,Issue,body+title,OS=linux|win32|windows; FIX=failing; TEST_CI=test,Paste from windows not working in 3.1.3 client (server 3.1.2): NameError: name 'ellipsizer' is not defined,https://github.com/Xpra-org/xpra/issues/3727,To review
ansible/ansible-compat,Issue,body+title,OS=arch|linux; FIX=fail|failing|failure; TEST_CI=pytest|test|tests; API=os.path,2.2.7: test_prerun_reqs_v1 and test_prerun_reqs_v2 fail,https://github.com/ansible/ansible-compat/issues/210,To review
VUnit/vunit,Issue,body+title,OS=linux|windows; FIX=fail; TEST_CI=test|tests,All tests fail on Windows with GHDL,https://github.com/VUnit/vunit/issues/882,To review
aws/aws-sam-cli,Issue,body+comment+title,OS=linux|macos|windows; FIX=broken|bug|fails|fix|fixed|fixes|workaround; TEST_CI=ci|github actions|test|tests|workflow,Bug: Error on sam build command,https://github.com/aws/aws-sam-cli/issues/4527,To review
Xpra-org/xpra,Issue,body+comment+title,OS=linux|macos|osx|ubuntu|unix|windows; FIX=bug|fix|fixed|fixes; TEST_CI=test; CAUSE=encoding; API=encoding=,Xpra opens windows as tabs,https://github.com/Xpra-org/xpra/issues/3723,To review
Azure/azure-functions-python-worker,Issue,body+comment+title,OS=win32|windows; FIX=bug|fix|fixed; TEST_CI=test; CAUSE=timezone,[BUG] .venv not in sys.path (?),https://github.com/Azure/azure-functions-python-worker/issues/1159,To review
Pylons/pyramid-cookiecutter-starter,Issue,body+title,OS=windows; FIX=broken; TEST_CI=pytest|tests,tests are broken on windows,https://github.com/Pylons/pyramid-cookiecutter-starter/issues/119,Related!!
Farama-Foundation/Minigrid,Issue,body+comment,OS=ubuntu|windows; FIX=portability|portable,[Proposal] ANSI color support,https://github.com/Farama-Foundation/Minigrid/issues/293,To review
corrscope/corrscope,Issue,body,OS=windows; FIX=bug,corrscope won't read files,https://github.com/corrscope/corrscope/issues/438,To review
Xpra-org/xpra,Issue,body+comment,OS=centos|debian|unix; FIX=broken|bug|fixed|fixes|workaround; TEST_CI=test; CAUSE=.so|encoding; API=encoding=,"crash when firefox spawns a popup window, sometimes",https://github.com/Xpra-org/xpra/issues/3719,To review
aws/aws-sam-cli,Issue,body+title,OS=linux|macos|ubuntu|unix|windows; FIX=bug|fails; TEST_CI=ci|test|workflow,`build --use-container` fails on Lima/macOS recently,https://github.com/aws/aws-sam-cli/issues/4514,To review
benoitc/gunicorn,Issue,body+title,OS=unix; FIX=broken|fails,Binding to unix socket is broken,https://github.com/benoitc/gunicorn/issues/2904,To review
MilesCranmer/PySR,Issue,body+title,OS=windows; FIX=bug; TEST_CI=matrix,[BUG] *Windows SystemError: <PyCall.jlwrap on basic example*,https://github.com/MilesCranmer/PySR/issues/239,To review
OSGeo/grass-addons,Issue,body+title,OS=mingw|mingw32|msys2|windows; FIX=bug|fails; TEST_CI=test,[Bug] i.vi.mpi doesn't compile on Windows,https://github.com/OSGeo/grass-addons/issues/841,To review
alttester/AltTester-Unity-SDK,Issue,body+comment,OS=macos|windows; FIX=bug|bugfix|fail|fails; TEST_CI=test,Change the assert condition for TestPressKeyWaitTheDuration,https://github.com/alttester/AltTester-Unity-SDK/issues/1026,To review
apple/coremltools,Issue,body+comment,OS=linux|macos; FIX=bug|fixed,MLProgram ignores squeeze mask in slice_by_index leading to incorrect output shape,https://github.com/apple/coremltools/issues/1710,To review
Xpra-org/xpra,Issue,body+title,OS=ubuntu; FIX=fix|skip; TEST_CI=test|tests,silence unit test `ImportWarning` noise from pygobject,https://github.com/Xpra-org/xpra/issues/3707,To review
applied-material-modeling/neml2,Issue,body+title,OS=ubuntu; FIX=fails; TEST_CI=test; API=subprocess,Test 15 - ADSecDerivModel fails on Ubuntu,https://github.com/applied-material-modeling/neml2/issues/44,To review
MilesCranmer/PySR,Issue,body+title,OS=linux|ubuntu|windows; FIX=fail|failing; TEST_CI=ci|test|tests; CAUSE=.so|utf-8,Repeated CI failures on Windows,https://github.com/MilesCranmer/PySR/issues/238,To review
Farama-Foundation/Gymnasium,Issue,body+comment+title,OS=arch|linux|macos|ubuntu|windows; FIX=bug|compatibility|fixes,[Bug Report] The Incredible Shrinking Window! (PyGame surface resizes in infinite loop),https://github.com/Farama-Foundation/Gymnasium/issues/187,To review
OpenBB-finance/OpenBB,Issue,body+title,OS=ubuntu|wsl; FIX=bug,[Bug] Installation SDK on WSL,https://github.com/OpenBB-finance/OpenBB/issues/3716,To review
barneygale/quarry,Issue,body,OS=windows; FIX=fix; API=subprocess,fcntl not found,https://github.com/barneygale/quarry/issues/186,Related!!
cookiejar/cookietemple,Issue,body+title,OS=macos|ubuntu; FIX=bug|failing; TEST_CI=github actions|nox|tests|workflow,Github Actions failing with python-cli template for ubuntu-latest tests,https://github.com/cookiejar/cookietemple/issues/1006,To review
OpenBB-finance/OpenBB,Issue,title,OS=windows; FIX=bug,[Bug] Intel Mac & Some Windows Terminal Users are Reporting Forecast and Portfolio Menus Hangs,https://github.com/OpenBB-finance/OpenBB/issues/3695,To review
OSInside/kiwi,Issue,body+comment,OS=arch|debian|linux; FIX=bug|fail|fails|fix; TEST_CI=test|tests; CAUSE=encoding|locale|timezone|utf-8; API=encoding=,kiwi-ng doesn't produce a tar.xz archive when building a docker package,https://github.com/OSInside/kiwi/issues/2217,To review
Avalon-Benchmark/avalon,Issue,body+comment+title,OS=linux|macos|osx; FIX=bug|failing|fails|fix|fixed|skip; TEST_CI=test|tests; CAUSE=executable,Problems on installing Avalon on intel macOS,https://github.com/Avalon-Benchmark/avalon/issues/15,Not related
TheCellule/python-bleson,Issue,body+comment,OS=darwin|linux|macos|windows; FIX=failing|fix|fixed,Observer not reporting any devices on Mac,https://github.com/TheCellule/python-bleson/issues/89,To review
OpenBB-finance/OpenBB,Issue,body+comment+title,OS=linux|macos|ubuntu|windows; FIX=bug|fix|fixed,[Bug] Charts not showing on docker,https://github.com/OpenBB-finance/OpenBB/issues/3647,To review
aboutcode-org/scancode-toolkit,Issue,comment+title,OS=freebsd|illumos|macos|netbsd|solaris; FIX=cross-platform,Support illumos/omnios/netbsd packages,https://github.com/aboutcode-org/scancode-toolkit/issues/3164,To review
GNS3/gns3-server,Issue,body+title,OS=windows; FIX=fails|portable,export portable project < gns3 version 3.0 on Windows 10 host with localserver enabled fails on large files,https://github.com/GNS3/gns3-server/issues/2136,To review
Xpra-org/xpra,Issue,body,OS=centos|linux|windows; FIX=bug,In pixman_set_extents,https://github.com/Xpra-org/xpra/issues/3691,To review
aws/aws-sam-cli,Issue,body,OS=linux|windows; FIX=fails,sam build failed - Dotnet CLI Failed: Could not execute because the specified command or file was not found,https://github.com/aws/aws-sam-cli/issues/4434,To review
aws/aws-sam-cli,Issue,body+title,OS=linux|windows; FIX=bug,Bug: Terraform support is not working for SAM CLI installed in linux using the x86_64 - command line installer,https://github.com/aws/aws-sam-cli/issues/4432,To review
OpenBB-finance/OpenBB,Issue,body+title,OS=windows; FIX=bug,[Bug] Windows installer: splash screen is displayed while report is being executed,https://github.com/OpenBB-finance/OpenBB/issues/3503,To review
OpenBB-finance/OpenBB,Issue,body+title,OS=windows; FIX=bug,[Bug] Windows installer: reports throw a log error after execution,https://github.com/OpenBB-finance/OpenBB/issues/3502,To review
NLeSC/python-template,Issue,body+title,OS=windows; FIX=failing; TEST_CI=tests|workflow,Tests are failing on Windows with Python > 3.6,https://github.com/NLeSC/python-template/issues/326,To review
